2025-12-02	120	nerds douche kitten maar ging mid dus hopelijk schrijf ik hier binnen een maand weer uren voor om het te fixen dit was echt een disproportioneel grote L maar we hebben onze best gedaan
2025-12-01	120	Klus: badkamer nerds
2025-12-01	120	nerds douche kitten
2025-12-01	540	Klusboete Q4 2025
2025-12-01	30	Klusboete Q4 2025
2025-12-01	60	Klusboete Q4 2025
2025-12-01	30	Klusboete Q4 2025
2025-12-01	90	OHC: Bejaarden rioolcheck en tekening
2025-12-01	120	Groen overleg met gemeente
2025-11-30	150	Klusdag 
2025-11-29	150	klusdag vlonders nerds
2025-11-29	315	Klusdag
2025-11-29	180	1/2 Klusdag 
2025-11-29	480	Klusdag
2025-11-29	420	Klusdag 29 Nov
2025-11-29	120	Klusdag 
2025-11-29	180	stucen beneden nerds
2025-11-29	300	klusdag
2025-11-29	300	klusdag: voegen verwijderen boven douche Kenau
2025-11-29	360	Klusdag
2025-11-29	60	UOT: Hoezo niet €1.300.000?
2025-11-28	90	Tuin klus dag 
2025-11-28	75	NBC Kees 1e gespr 
2025-11-28	60	first NBC talk Kees
2025-11-28	60	OHC: Overleg met Eline over vocht
2025-11-26	30	tuinvergaring
2025-11-26	30	tuinco n bestuur 
2025-11-26	30	tuinco x bestuur chat
2025-11-26	60	tuinco & bestuur chat
2025-11-26	60	TuinCo x Bestuur Chat
2025-11-26	30	UOT: Triodos contractcontrole
2025-11-25	240	voorstellen tuinco maken
2025-11-25	120	klussen: voegen verwijderen boven douche Kenau
2025-11-25	30	OHC: Overleg over doucheschade
2025-11-24	60	onderhoudscommissie -klusco overleg
2025-11-24	120	Klusdag voorbereiden
2025-11-24	60	klusco overleg
2025-11-24	120	klus committee meeting, preparing klusdag
2025-11-24	120	FeestCo Meeting and Wiki work
2025-11-24	60	OHC: Overleg met collega Eline over vocht
2025-11-22	180	bovenkeuken aanrecht
2025-11-18	90	Penningmeester Administratie
2025-11-18	120	Kluscommissie administratie/organisatie
2025-11-16	15	Kees Borrel Bodschappen
2025-11-12	180	Penningmeester werk
2025-11-10	30	UOT: Greenchoice uitzoeken
2025-11-09	60	Triodos responses
2025-11-07	45	Tuin groene aanslag
2025-11-07	30	OHC: Tabel en dak uitleggen
2025-11-06	90	Debiteuren follow ups
2025-11-06	60	OHC: Mail en overleg ventilatie
2025-11-05	75	tuinco meetig
